ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjobs?jk=18f62dc644a89e0c,2021 Global Data Internship - Seoul (Kor...,Bloomberg 서울,,"work experience using one or more programming language (e.g. Python, JavaScript, SQL, etc.) Prior coursework or involvement..."
https://kr.indeed.com/viewjobs?jk=e8a4630bec0783e8,2021 Market Data Analyst - Seoul,Bloomberg 서울,,"work experience using one more programming language... Python, SQL and R Fluency in Korean and English (both spoken..."
https://kr.indeed.com/viewjobs?jk=c54efba262d86ecc,[EY컨설팅] 컨설팅본부 Data & Analytics팀 경력 컨설턴트...,Ernst & Young 4.0 대한민국,,"분석 컨설팅 - 데이터 전처리, 머신러닝, 딥러닝 및 통계적 분석 프로그램 개발 * 필수 자격 - SQL, Python, R을 활용한 데이터 전처리 및 분석 모델링 경험자 - 통계 분석, ML, DL의 지식 보유..."
https://kr.indeed.com/viewjobs?jk=d136d5b4d86f5c61,2021 업무혁신(PI) 신입사원,LG디스플레이 3.4 경기도 파주,,"유자 우대조건 - BI(Business Intelligence) Tool 활용능력 보유자 - 통계/분석(R, Python) Tool 활용능력 보유자 담당업무 - 공정 제어 PI (공정 변동 관리 업무) 필수조건 - 산업공학..."
https://kr.indeed.com/viewjobs?jk=00c30d286ee5c97f,[충청권/50명]인공지능(AI) 기본과정+고급과정 훈련생 대,청주대학교산학협력단 청주 상당구,,19~22시 120시간 10주 인공지능 기본과정 (120h) 인공지능 Python을 이용한 기초 프로그래밍 교육 · 기초 프로그래밍 · 머신러닝 라이... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjobs?jk=583c20483b4f707b,2021 IT분야 경력직,위세아이텍 성남 분당구,,"위한 데이터마트 설계 및 개발 예측분석 컨설팅, 정형/비정형 융합분석 등업무관련 3년 이상 경력자 R, Python 가능한 사람 [우대사항] 예측분석 컨설팅 및 프로젝트 PM/PL 경험자 관련분야 사업제안 및 교육 경험자..."
https://kr.indeed.com/viewjobs?jk=07f1ee457882c331,21년 IT직무 경력사원,롯데정보통신 서울 금천구,,"개발자 - OS, Android App 개발자 - Web 프로그램 개발자 (DHML5, JAVA, C#, Python 등) - 관련 업무 경험 4년 이상 보유자 가산동 본사 모바일 개발 (Web/App) - 헬스케어 플랫폼..."
https://kr.indeed.com/viewjobs?jk=f0b26e01bccd1591,[김해 포스트코로나 청년일자리 지원 사업] 2021년 (주)디앤알팩토리...,디앤알팩토리 경상남도 김해,"월급 2,300,000원","성과금 지급, 정기 휴가. 직무 내용 - 직무 내용 : Mavlink Protocol, Arduino, Python, C / C+, Java 를 이용한 소프트웨어 개발. [근무시간 및 형태] 주 5일 근무 (오전) 10시..."
https://kr.indeed.com/viewjobs?jk=650893f0672cebc3,테크센터개발팀 - 웹 프로그래머,Nexon 성남 분당구,,"웹 어플리케이션 개발 경력 3년 이상 - 프로그래밍 언어 무관 (C#, Java, Javascript, Python, Go, PHP 등) - 프레임워크 무관 ( .NET MVC, Spring, node.js(Express..."
https://kr.indeed.com/viewjobs?jk=69ab0f58743cb713,21년 전문연구요원 (AI엔지니어),Nexon 성남 분당구,,"대상자 - 병역의무가 없거나 면제된 분, 병역의 의무를 마치신 분은 본 공고의 대상에서 제외됨 - Python에 숙련된 프로그래밍 능력과 머신러닝 라이브러리 활용 경험 - 머신러닝과 강화학습에 관련된 지식 습득 혹은..."
https://kr.indeed.com/viewjobs?jk=d05f4a61fa7270c9,Sr Field Engineer I,Raytheon Intelligence & Space 경기도 오산,,"Redhat Linux System Administration, UNIX shell/PERL/ python scripting, Cisco network administration, Oracle or Weblogic..."
https://kr.indeed.com/viewjobs?jk=8ae150ee0df56848,Application Engineer South Korea (Physic...,Zurich Instruments 부산 +1 지역,,"Korean * experience in programming languages LabVIEW, MATLAB, Python or C is a plus * availability to travel, around 25..."
